peak,psr,pnr,ratio_peak_to_median,periodic_sum,fwhm,w_peak_80,w_mean_80,w_std_80,w_energy_80,sharpness_80,w_peak_160,w_mean_160,w_std_160,w_energy_160,sharpness_160,label
0.013261,1.005934,8.617738,8.617738,1.462736,2.0,0.013261,0.003401,0.003038,0.001664,3.244078,0.013261,0.002946,0.002419,0.002324,4.263351,1.0
0.01282,1.065932,9.441061,9.441061,1.349541,4.0,0.01282,0.002681,0.002676,0.001148,3.786649,0.01282,0.002052,0.002124,0.001396,5.066326,1.0
0.011781,1.00397,8.043233,8.043233,1.356444,4.0,0.011781,0.003123,0.002528,0.001291,3.42386,0.011781,0.002681,0.002141,0.001883,4.248021,1.0
0.009857,1.054516,7.365541,7.365541,1.483291,2.0,0.009857,0.001893,0.001991,0.000604,3.997802,0.009857,0.001939,0.001653,0.001039,4.787067,0.0
0.011316,1.049447,6.952275,6.952275,1.781203,2.0,0.011316,0.002774,0.002484,0.001109,3.437332,0.011316,0.002389,0.002173,0.001669,4.106014,0.0
0.01886,1.064855,11.524828,11.524828,1.279916,3.0,0.01886,0.004294,0.004718,0.003256,3.086529,0.01886,0.003581,0.003865,0.004442,3.952622,1.0
0.009626,1.299262,6.599684,6.599684,1.549066,2.0,0.009626,0.002302,0.001789,0.00068,4.092548,0.009626,0.002044,0.001754,0.001161,4.31985,0.0
0.010317,1.00168,7.546108,7.546108,1.417574,2.0,0.010317,0.001963,0.002012,0.000632,4.150574,0.010317,0.001592,0.001628,0.00083,5.355315,0.0
0.022687,1.085695,15.96201,15.96201,1.06499,2.0,0.022687,0.004426,0.00429,0.003039,4.256113,0.022687,0.003838,0.003439,0.004248,5.480203,1.0
0.009381,1.002198,7.035414,7.035414,1.764108,2.0,0.009381,0.002041,0.002065,0.000674,3.553604,0.009381,0.001796,0.001755,0.001009,4.318579,0.0
0.011086,1.044665,7.79263,7.79263,1.373167,2.0,0.011086,0.002533,0.002354,0.000957,3.6323,0.011086,0.002233,0.001985,0.001428,4.4576,0.0
0.012424,1.068397,7.870471,7.870471,1.303308,2.0,0.012424,0.002509,0.002765,0.001115,3.58397,0.012424,0.002124,0.002301,0.001569,4.475032,0.0
0.014279,1.172554,10.17195,10.17195,1.028532,2.0,0.014279,0.002752,0.002776,0.001223,4.15067,0.014279,0.002192,0.002305,0.001619,5.241203,1.0
0.017873,1.061394,12.70323,12.70323,1.119895,3.0,0.017873,0.003441,0.003592,0.001979,4.017207,0.017873,0.002736,0.002923,0.002565,5.176113,1.0
0.0127100521644562,1.023615856508176,9.090219226692987,9.090219226692987,1.197976948732721,2.0,0.0127100521644562,0.0026911884441937,0.0026929177851908,0.0011595441151967,3.719068107920263,0.0127100521644562,0.0024179197148738,0.0022613760525343,0.0017536251837682,4.549258041364493,1.0
0.015798,1.085777,9.939519,9.939519,1.131917,3.0,0.015798,0.004018,0.003162,0.002091,3.72441,0.015798,0.003349,0.002593,0.00287,4.799074,1.0
0.013599,1.037422,9.392664,9.392664,0.981532,3.0,0.013599,0.003329,0.003011,0.001612,3.409358,0.013599,0.002767,0.00242,0.002161,4.474947,1.0
0.015921,1.141339,11.443634,11.443634,1.040425,2.0,0.015921,0.003681,0.002951,0.00178,4.147147,0.015921,0.002726,0.002574,0.002249,5.124377,1.0
0.011419,1.151018,8.536777,8.536777,1.256396,2.0,0.011419,0.002066,0.001845,0.000614,5.065559,0.011419,0.001577,0.001512,0.000764,6.50374,0.0
0.021387,1.037179,14.752465,14.752465,1.157546,2.0,0.021387,0.003974,0.004428,0.002832,3.931586,0.021387,0.003035,0.003491,0.003424,5.255571,1.0
0.021639,1.029269,13.093802,13.093802,1.500173,2.0,0.021639,0.00421,0.004464,0.003012,3.903916,0.021639,0.00358,0.003849,0.004421,4.690131,1.0
0.010126,1.127493,7.614252,7.614252,1.410226,2.0,0.010126,0.001893,0.001945,0.000589,4.232125,0.010126,0.001768,0.001583,0.000901,5.276419,0.0
0.009318,1.005925,6.997699,6.997699,1.725596,2.0,0.009318,0.002516,0.001985,0.000822,3.425007,0.009318,0.001934,0.001682,0.001052,4.386074,0.0
0.009172,1.076244,6.813986,6.813986,1.328804,2.0,0.009172,0.002187,0.001777,0.000635,3.927527,0.009172,0.001951,0.001612,0.001024,4.477154,0.0
0.01135,1.020187,7.502702,7.502702,1.786515,4.0,0.01135,0.002814,0.002572,0.001163,3.317454,0.01135,0.002599,0.002206,0.00186,3.964541,0.0
0.022584,1.171914,15.092066,15.092066,1.03348,2.0,0.022584,0.003572,0.004054,0.002336,4.688197,0.022584,0.003182,0.003215,0.003274,6.033543,1.0
0.022019,1.105226,16.353691,16.353691,1.164773,2.0,0.022019,0.00435,0.0044,0.003062,4.014559,0.022019,0.003544,0.003686,0.004183,5.011146,1.0
0.017354,1.111711,11.491054,11.491054,1.22189,3.0,0.017354,0.003639,0.003983,0.002328,3.442495,0.017354,0.002848,0.003136,0.002872,4.623432,1.0
0.009534,1.008144,7.15106,7.15106,1.115267,2.0,0.009534,0.002184,0.00214,0.000748,3.432376,0.009534,0.001892,0.001762,0.00107,4.333987,0.0
0.012895,1.0171,9.448126,9.448126,1.211347,3.0,0.012895,0.003484,0.003362,0.001876,2.798088,0.012895,0.003033,0.002708,0.002645,3.640715,0.0
0.009464,1.132235,6.904321,6.904321,1.640509,4.0,0.009464,0.001937,0.001989,0.000616,3.783419,0.009464,0.001702,0.001742,0.000949,4.45302,0.0
0.010803,1.103515,8.090562,8.090562,1.133952,2.0,0.010803,0.002709,0.002234,0.000986,3.621027,0.010803,0.002335,0.001966,0.001491,4.304665,0.0
0.012095,1.004472,8.967571,8.967571,1.035413,2.0,0.012095,0.002407,0.00224,0.000865,4.323911,0.012095,0.002004,0.001909,0.001226,5.282337,0.0
0.014349,1.129292,9.231916,9.231916,1.039867,2.0,0.014349,0.003806,0.003135,0.001945,3.361652,0.014349,0.002743,0.002645,0.002323,4.386538,1.0
0.0117027908574188,1.0576291867969396,8.145561846867185,8.145561846867185,1.4347642797601814,2.0,0.0117027908574188,0.0028313040720631,0.0024834652648743,0.0011347105976254,3.570783182514861,0.0117027908574188,0.0021301889340422,0.0020632643112263,0.0014071623220314,4.637294687175836,1.0
0.0131553645172792,1.0462923731756173,9.290492724515603,9.290492724515603,1.2688781880008464,2.0,0.0131553645172792,0.0031230865455416,0.0030136949147201,0.0015068821287962,3.3277921167916324,0.0131553645172792,0.0026865116708731,0.0025082267463735,0.0021613674190338,4.172143016383877,1.0
0.009564,1.008473,6.776356,6.776356,1.464366,2.0,0.009564,0.002208,0.002206,0.00078,3.332195,0.009564,0.001793,0.001843,0.001057,4.214694,0.0
0.015334,1.114632,11.240596,11.240596,1.211298,3.0,0.015334,0.003505,0.003045,0.001725,3.883886,0.015334,0.00284,0.002552,0.002332,4.894855,1.0
0.012008,1.006323,8.906287,8.906287,0.941176,3.0,0.012008,0.002857,0.002843,0.0013,3.217452,0.012008,0.002328,0.002329,0.001735,4.154901,1.0
0.009466,1.09114,7.111929,7.111929,1.212662,3.0,0.009466,0.002073,0.001845,0.000616,4.004969,0.009466,0.001793,0.001567,0.000907,4.892505,0.0
0.012169,1.031195,8.379674,8.379674,1.349856,3.0,0.012169,0.002966,0.002731,0.0013,3.369272,0.012169,0.00234,0.002304,0.001725,4.264068,1.0
0.015335,1.019266,10.74409,10.74409,1.316183,3.0,0.015335,0.004179,0.003523,0.00239,3.165579,0.015335,0.003091,0.002974,0.002943,4.116446,1.0
0.011297,1.121552,7.492051,7.492051,1.39482,3.0,0.011297,0.002472,0.002011,0.000812,4.386578,0.011297,0.002281,0.001797,0.00135,5.013003,0.0
0.009837,1.024385,7.299163,7.299163,0.813524,2.0,0.009837,0.002275,0.001507,0.000596,5.014076,0.009837,0.001874,0.00136,0.000858,5.848525,0.0
0.017042,1.052448,10.970095,10.970095,1.064651,3.0,0.017042,0.003493,0.003495,0.001954,3.875041,0.017042,0.002725,0.002832,0.002472,5.053466,1.0
0.020798,1.097563,15.079125,15.079125,1.263681,2.0,0.020798,0.004012,0.004243,0.002728,3.955336,0.020798,0.003083,0.003485,0.003464,5.082233,1.0
0.010788993784443,1.0329884330613823,7.799278693397789,7.799278693397789,1.1015097244605003,2.0,0.010788993784443,0.0028526007910865,0.0020403485834657,0.0009840282892286,3.887818600722436,0.010788993784443,0.0023291210086534,0.0017726492563896,0.0013707344094607,4.769755206849716,1.0
0.009302,1.163705,6.956938,6.956938,1.221461,3.0,0.009302,0.002322,0.001875,0.000713,3.720095,0.009302,0.001987,0.001567,0.001025,4.664589,0.0
0.019092,1.08593,13.063427,13.063427,1.0994,2.0,0.019092,0.003664,0.003921,0.002304,3.934072,0.019092,0.003034,0.003106,0.003016,5.16911,1.0
0.018828,1.075175,13.439607,13.439607,1.472112,3.0,0.018828,0.004741,0.004785,0.003629,2.943684,0.018828,0.003787,0.003864,0.004683,3.891414,1.0
0.009638,1.17063,7.172889,7.172889,1.621653,3.0,0.009638,0.0018,0.001812,0.000522,4.323882,0.009638,0.001626,0.001616,0.00084,4.956464,0.0
0.016886,1.132814,12.540265,12.540265,1.054613,2.0,0.016886,0.002903,0.003195,0.001491,4.375499,0.016886,0.002417,0.002614,0.002028,5.53272,1.0
0.022017,1.105877,13.638522,13.638522,1.004157,2.0,0.022017,0.003838,0.004188,0.002582,4.339784,0.022017,0.003122,0.00348,0.003497,5.428007,1.0
0.020386,1.090375,13.116382,13.116382,1.105115,2.0,0.020386,0.003679,0.003748,0.002206,4.456956,0.020386,0.003357,0.00309,0.003331,5.509226,1.0
0.009722,1.057965,7.23244,7.23244,1.341206,2.0,0.009722,0.002137,0.001992,0.000683,3.806108,0.009722,0.001688,0.001701,0.000919,4.71998,0.0
0.00962,1.127646,6.950682,6.950682,1.896198,2.0,0.00962,0.002516,0.002148,0.000876,3.305747,0.00962,0.002214,0.001861,0.001338,3.977539,0.0
0.009454,1.034666,7.069623,7.069623,0.966433,2.0,0.009454,0.001838,0.001827,0.000537,4.166067,0.009454,0.00148,0.001459,0.000691,5.463579,0.0
0.010222,1.039863,7.098517,7.098517,1.113382,2.0,0.010222,0.002486,0.002086,0.000842,3.707522,0.010222,0.00223,0.001743,0.001282,4.581964,0.0
0.017342,1.092489,12.951211,12.951211,1.303621,3.0,0.017342,0.00382,0.004121,0.002526,3.280775,0.017342,0.003119,0.003255,0.003252,4.367832,1.0
0.020033,1.072292,12.332731,12.332731,1.283753,2.0,0.020033,0.004497,0.00447,0.003216,3.475239,0.020033,0.003282,0.003681,0.003891,4.549541,1.0
0.016477,1.03059,12.045313,12.045313,1.868843,2.0,0.016477,0.002862,0.003519,0.001646,3.86778,0.016477,0.002468,0.0029,0.00232,4.829627,1.0
0.018482,1.083681,12.137865,12.137865,1.055385,2.0,0.018482,0.003656,0.003665,0.002143,4.04452,0.018482,0.00299,0.00293,0.002804,5.285113,1.0
0.026072,1.10818,17.493278,17.493278,1.194849,2.0,0.026072,0.004473,0.005007,0.003606,4.312771,0.026072,0.003586,0.003989,0.004604,5.635122,1.0
0.009436,1.118052,7.060431,7.060431,1.326013,2.0,0.009436,0.002457,0.001904,0.000773,3.662962,0.009436,0.00204,0.0016,0.001076,4.619309,0.0
0.0123057685978211,1.0807781664664602,9.212595087750213,9.212595087750213,1.1141067896350203,3.0,0.0123057685978211,0.0032574356559257,0.002773057058699,0.0014640586002637,3.261768864314164,0.0123057685978211,0.0023983131420313,0.0023440640499347,0.0017994467515898,4.224812305687512,1.0
0.0118681321732277,1.004402238862098,8.295585052532378,8.295585052532378,1.7219473914481038,2.0,0.0118681321732277,0.0029680065847105,0.0028658329778891,0.0013617649395233,3.1045148626239274,0.0118681321732277,0.0028210958584957,0.0025993827802044,0.0023544596289352,3.4791171452152936,1.0
0.018181,1.080031,10.91558,10.91558,1.260627,3.0,0.018181,0.004132,0.00435,0.00288,3.228914,0.018181,0.003429,0.003548,0.003895,4.156854,1.0
0.01064,1.035899,7.164725,7.164725,1.405886,2.0,0.01064,0.002114,0.002237,0.000758,3.809303,0.01064,0.002004,0.001897,0.001218,4.550594,0.0
0.018214,1.161462,11.810176,11.810176,0.973263,2.0,0.018214,0.005065,0.003834,0.003228,3.42902,0.018214,0.003843,0.003356,0.004165,4.281108,1.0
0.010178,1.164626,7.503449,7.503449,1.041949,2.0,0.010178,0.003135,0.002181,0.001167,3.228134,0.010178,0.002498,0.001949,0.001607,3.937143,1.0
0.020513,1.065366,13.3802,13.3802,1.066536,2.0,0.020513,0.003754,0.004064,0.002449,4.122898,0.020513,0.003124,0.003186,0.003186,5.455408,0.0
0.01434,1.066386,10.266055,10.266055,1.044511,4.0,0.01434,0.0031,0.002835,0.001412,3.96318,0.01434,0.002634,0.002383,0.002018,4.91061,1.0
0.01416,1.043717,10.186541,10.186541,1.447053,2.0,0.01416,0.003259,0.002865,0.001507,3.803018,0.01416,0.00266,0.002409,0.002061,4.771362,1.0
0.024044,1.059421,14.760875,14.760875,1.107433,3.0,0.024044,0.004059,0.004404,0.002869,4.536862,0.024044,0.003148,0.003477,0.003519,6.008957,1.0
0.011674,1.010303,7.853486,7.853486,0.835476,2.0,0.011674,0.0025,0.002046,0.000835,4.480894,0.011674,0.001831,0.001699,0.000999,5.78848,1.0
0.008989,1.032608,6.684404,6.684404,1.131057,2.0,0.008989,0.002192,0.001998,0.000704,3.399457,0.008989,0.001958,0.001762,0.00111,3.987574,0.0
0.017755,1.105411,12.271805,12.271805,1.088226,3.0,0.017755,0.00379,0.003961,0.002404,3.524867,0.017755,0.003111,0.003166,0.003152,4.624258,1.0
0.010506,1.020104,7.740778,7.740778,1.39341,3.0,0.010506,0.002141,0.002135,0.000731,3.916668,0.010506,0.001834,0.001813,0.001064,4.781233,0.0
0.015887,1.058454,11.050483,11.050483,1.642516,2.0,0.015887,0.004516,0.003908,0.002853,2.909065,0.015887,0.003727,0.003357,0.004026,3.621371,1.0
0.01164,1.056559,8.415859,8.415859,1.148999,3.0,0.01164,0.002861,0.002521,0.001163,3.480409,0.01164,0.002566,0.002168,0.001806,4.183187,1.0
0.010464,1.063452,6.780537,6.780537,1.910976,2.0,0.010464,0.002548,0.002209,0.00091,3.582564,0.010464,0.002412,0.002028,0.001589,3.968697,0.0
0.01357,1.03883,9.683074,9.683074,1.386923,5.0,0.01357,0.005385,0.003814,0.003484,2.14548,0.01357,0.004081,0.003334,0.004444,2.844888,1.0
0.022517,1.103797,13.835823,13.835823,1.32764,2.0,0.022517,0.004259,0.004248,0.002895,4.297326,0.022517,0.003474,0.003572,0.003972,5.33006,1.0
0.009679,1.05426,7.269699,7.269699,1.532216,2.0,0.009679,0.00195,0.002013,0.000628,3.837209,0.009679,0.001894,0.001656,0.001012,4.699553,0.0
0.02193,1.053504,15.978482,15.978482,1.303012,2.0,0.02193,0.004216,0.004463,0.003016,3.968076,0.02193,0.003354,0.003618,0.003895,5.132412,1.0
0.009927,1.130616,7.024163,7.024163,1.364945,2.0,0.009927,0.002258,0.001976,0.000721,3.878029,0.009927,0.002013,0.001652,0.001085,4.787669,0.0
0.014425,1.03499,9.358097,9.358097,1.278167,2.0,0.014425,0.003929,0.003172,0.002039,3.308622,0.014425,0.00293,0.002655,0.002502,4.328049,1.0
0.010626,1.0647,7.907315,7.907315,1.172611,3.0,0.010626,0.003003,0.002633,0.001276,2.894552,0.010626,0.002607,0.002235,0.001887,3.586048,0.0
0.022263,1.023466,13.81816,13.81816,0.974352,3.0,0.022263,0.004597,0.004753,0.003497,3.716244,0.022263,0.003766,0.003863,0.004657,4.787582,1.0
0.015699,1.000471,10.162958,10.162958,0.993712,2.0,0.015699,0.003545,0.003252,0.001851,3.73665,0.015699,0.002573,0.00262,0.002157,5.008813,1.0
0.016475,1.114308,12.087212,12.087212,1.190309,3.0,0.016475,0.003671,0.003916,0.002305,3.268489,0.016475,0.003148,0.003182,0.003205,4.187356,1.0
0.009427,1.088029,7.042966,7.042966,1.299065,2.0,0.009427,0.002508,0.001962,0.000811,3.524251,0.009427,0.002133,0.001723,0.001203,4.231126,0.0
0.009566,1.021863,7.155862,7.155862,1.41218,2.0,0.009566,0.00241,0.002056,0.000803,3.479523,0.009566,0.002252,0.001874,0.001373,3.901247,0.0
0.021138,1.053551,15.335557,15.335557,1.158193,2.0,0.021138,0.0041,0.003779,0.002487,4.507192,0.021138,0.003223,0.003101,0.003201,5.775655,1.0
0.009871,1.200164,7.40947,7.40947,0.945361,3.0,0.009871,0.002521,0.002068,0.000851,3.551501,0.009871,0.002189,0.001746,0.001255,4.396373,0.0
0.009893,1.055339,7.099246,7.099246,1.227902,2.0,0.009893,0.00266,0.001788,0.000822,4.042443,0.009893,0.002238,0.001578,0.0012,4.847244,0.0
0.021994,1.099649,13.906875,13.906875,1.042865,2.0,0.021994,0.004025,0.004168,0.002686,4.309684,0.021994,0.003362,0.003333,0.003586,5.588145,1.0
0.015933,1.060579,11.802884,11.802884,1.295146,2.0,0.015933,0.003298,0.003179,0.001679,3.973281,0.015933,0.002774,0.002625,0.002334,5.010636,1.0
0.01555,1.015438,10.901928,10.901928,1.257265,3.0,0.01555,0.003461,0.003425,0.001897,3.528565,0.01555,0.002901,0.002808,0.002608,4.502853,1.0
0.021017,1.004192,15.306302,15.306302,1.496821,3.0,0.021017,0.004525,0.004873,0.003538,3.383638,0.021017,0.003801,0.004072,0.004964,4.226819,1.0
0.018458,1.059237,13.039025,13.039025,1.040639,2.0,0.018458,0.003959,0.003924,0.002485,3.694315,0.018458,0.002931,0.003177,0.002989,4.88553,1.0
0.012201,1.074134,8.573456,8.573456,1.035092,3.0,0.012201,0.00314,0.002627,0.001341,3.447626,0.012201,0.002543,0.002138,0.001766,4.514627,1.0
0.019407,1.062964,12.37651,12.37651,1.256016,3.0,0.019407,0.003732,0.004072,0.002441,3.848447,0.019407,0.003047,0.003271,0.003197,5.000335,1.0
0.009213,1.107791,6.816011,6.816011,1.154566,3.0,0.009213,0.002222,0.002214,0.000787,3.155633,0.009213,0.001877,0.001823,0.001095,4.021672,0.0
0.021298,1.028402,15.152165,15.152165,1.400192,2.0,0.021298,0.004839,0.004271,0.003332,3.852731,0.021298,0.003802,0.003443,0.004209,5.080627,1.0
0.009578,1.122721,7.101418,7.101418,1.276016,2.0,0.009578,0.00212,0.001612,0.000567,4.624452,0.009578,0.001729,0.001342,0.000766,5.845393,0.0
0.010039,1.209728,7.184807,7.184807,1.052427,2.0,0.010039,0.002361,0.002023,0.000773,3.792839,0.010039,0.0018,0.001657,0.000958,4.968305,0.0
0.018044,1.080876,12.854664,12.854664,1.017703,2.0,0.018044,0.003574,0.004014,0.002311,3.603953,0.018044,0.002732,0.00316,0.002792,4.844166,1.0
0.012387,1.066873,7.222397,7.222397,1.762036,2.0,0.012387,0.002902,0.002827,0.001313,3.354,0.012387,0.002728,0.002338,0.002065,4.129803,0.0
0.014168,1.152615,10.47263,10.47263,1.139166,3.0,0.014168,0.003337,0.003726,0.002001,2.906414,0.014168,0.002652,0.002956,0.002523,3.894616,1.0
0.009741,1.083818,7.240163,7.240163,1.258833,2.0,0.009741,0.002117,0.001973,0.00067,3.862775,0.009741,0.001952,0.001721,0.001083,4.523558,0.0
0.015715,1.128148,11.427804,11.427804,0.90501,2.0,0.015715,0.002655,0.002983,0.001276,4.376259,0.015715,0.002329,0.002341,0.001744,5.715393,1.0
0.011178,1.063094,7.947836,7.947836,1.537797,2.0,0.011178,0.003146,0.002746,0.001395,2.924051,0.011178,0.00301,0.002564,0.002502,3.184098,0.0
0.009002,1.025822,6.692024,6.692024,1.414716,2.0,0.009002,0.002309,0.001763,0.000675,3.795181,0.009002,0.001876,0.001586,0.000966,4.489907,0.0
0.010292,1.004925,7.673078,7.673078,1.294638,2.0,0.010292,0.00347,0.002673,0.001535,2.550597,0.010292,0.002895,0.002314,0.002198,3.195046,1.0
0.010367,1.200241,7.247329,7.247329,1.387267,2.0,0.010367,0.002473,0.002257,0.000897,3.495678,0.010367,0.002362,0.002093,0.001593,3.823045,0.0
0.009782,1.090874,7.324009,7.324009,1.645665,2.0,0.009782,0.002537,0.002399,0.000975,3.018684,0.009782,0.002279,0.002034,0.001493,3.686331,0.0
0.014221,1.055025,10.283522,10.283522,1.238735,3.0,0.014221,0.003142,0.003362,0.001694,3.29407,0.014221,0.002647,0.002648,0.002243,4.369282,1.0
0.018596,1.11809,12.581628,12.581628,1.190727,3.0,0.018596,0.003689,0.003839,0.002267,3.882567,0.018596,0.003146,0.003179,0.0032,4.859186,1.0
0.014083,1.015806,9.059739,9.059739,1.443052,3.0,0.014083,0.003836,0.003461,0.002135,2.960164,0.014083,0.003034,0.002829,0.002753,3.904823,1.0
0.010125,1.058287,7.632395,7.632395,1.555831,3.0,0.010125,0.002838,0.002105,0.000999,3.459463,0.010125,0.002295,0.001927,0.001436,4.061642,0.0
0.008881,1.176773,6.61502,6.61502,1.271996,2.0,0.008881,0.001697,0.001622,0.000441,4.426942,0.008881,0.00168,0.001514,0.000818,4.754988,0.0
